Date,Actual_Close,Predicted_Exponential_Smoothing
2021-01-08 23:58:00,53.33,53.321236118182846
2021-01-15 23:58:00,53.53,53.90577273346078
2021-01-22 23:58:00,53.22,53.62055839311829
2021-01-29 23:58:00,52.79,53.40801042583549
2021-02-05 23:58:00,56.27,55.128841295373505
2021-02-12 23:58:00,58.45,56.819900724598696
2021-02-19 23:58:00,58.73,58.49472990879094
2021-02-26 23:58:00,60.6,58.903483548945964
2021-03-05 23:58:00,64.58,62.88596092302965
2021-03-12 23:58:00,64.79,65.11726897672699
2021-03-19 23:58:00,61.71,64.87945021989214
2021-03-26 23:58:00,61.71,61.96127174815657
2021-04-01 23:58:00,62.49,64.04046235710229
2021-04-09 23:58:00,60.76,63.10139662917168
2021-04-16 23:58:00,64.02,60.89546732225238
2021-04-23 23:58:00,63.3,64.12747209628111
2021-04-30 23:58:00,64.35,65.64362690025696
2021-05-07 23:58:00,66.37,64.95552866767825
2021-05-14 23:58:00,66.63,66.41965639550908
