Date,Close,Date,Close,,
1/8/2021 23:58:00,53.33,12/13/2023 16:00:00,133.97,,#N/A
1/15/2021 23:58:00,53.53,12/14/2023 16:00:00,133.2,,
1/22/2021 23:58:00,53.22,12/15/2023 16:00:00,133.84,,
1/29/2021 23:58:00,52.79,12/18/2023 16:00:00,137.19,,
2/5/2021 23:58:00,56.27,12/19/2023 16:00:00,138.1,,
2/12/2021 23:58:00,58.45,12/20/2023 16:00:00,139.66,,
2/19/2021 23:58:00,58.73,12/21/2023 16:00:00,141.8,,
2/26/2021 23:58:00,60.6,12/22/2023 16:00:00,142.72,,
3/5/2021 23:58:00,64.58,12/26/2023 16:00:00,142.82,,
3/12/2021 23:58:00,64.79,12/27/2023 16:00:00,141.44,,
3/19/2021 23:58:00,61.71,12/28/2023 16:00:00,141.28,,
3/26/2021 23:58:00,61.71,12/29/2023 16:00:00,140.93,,
4/1/2021 23:58:00,62.49,1/2/2024 16:00:00,139.56,,
4/9/2021 23:58:00,60.76,1/3/2024 16:00:00,140.36,,
4/16/2021 23:58:00,64.02,1/4/2024 16:00:00,138.04,,
4/23/2021 23:58:00,63.3,1/5/2024 16:00:00,137.39,,
4/30/2021 23:58:00,64.35,1/8/2024 16:00:00,140.53,,
5/7/2021 23:58:00,66.37,1/9/2024 16:00:00,142.56,,
5/14/2021 23:58:00,66.63,1/10/2024 16:00:00,143.8,,
5/21/2021 23:58:00,64.85,,,,
5/28/2021 23:58:00,66.9,,,,
6/4/2021 23:58:00,69.87,,,,
6/11/2021 23:58:00,70.36,,,,
6/18/2021 23:58:00,70.63,,,,
6/25/2021 23:58:00,73.15,,,,
7/2/2021 23:58:00,73.79,,,,
7/9/2021 23:58:00,73.11,,,,
7/16/2021 23:58:00,71.67,,,,
7/23/2021 23:58:00,71.88,,,,
7/30/2021 23:58:00,73.8,,,,
8/6/2021 23:58:00,69.87,,,,
8/13/2021 23:58:00,69.74,,,,
8/20/2021 23:58:00,64.28,,,,
8/27/2021 23:58:00,71.05,,,,
9/3/2021 23:58:00,71.98,,,,
9/10/2021 23:58:00,72.26,,,,
9/17/2021 23:58:00,74.56,,,,
9/24/2021 23:58:00,77.23,,,,
10/1/2021 23:58:00,79.28,,,,
10/8/2021 23:58:00,82.39,,,,
10/15/2021 23:58:00,84.86,,,,
10/22/2021 23:58:00,85.53,,,,
10/29/2021 23:58:00,75.11,,,,
11/5/2021 23:58:00,75.38,,,,
11/12/2021 23:58:00,74.81,,,,
11/19/2021 23:58:00,72.75,,,,
11/26/2021 13:00:00,67.74,,,,
12/3/2021 23:58:00,67.2,,,,
12/10/2021 23:58:00,71.84,,,,
12/17/2021 23:58:00,70.02,,,,
12/23/2021 23:58:00,72.18,,,,
12/31/2021 23:58:00,73.35,,,,
1/7/2022 23:58:00,76.3,,,,
1/14/2022 23:58:00,79.49,,,,
1/21/2022 23:58:00,80.98,,,,
1/28/2022 23:58:00,81.1,,,,
2/4/2022 23:58:00,84.52,,,,
2/11/2022 23:58:00,85.5,,,,
2/18/2022 23:58:00,84.25,,,,
2/25/2022 23:58:00,85.24,,,,
3/4/2022 23:58:00,100.74,,,,
3/11/2022 23:58:00,109.1,,,,
3/18/2022 23:58:00,94.35,,,,
3/25/2022 23:58:00,100.61,,,,
4/1/2022 23:58:00,97,,,,
4/8/2022 23:58:00,97.95,,,,
4/14/2022 23:58:00,103.6,,,,
4/22/2022 23:58:00,98.93,,,,
4/29/2022 23:58:00,98.14,,,,
5/6/2022 23:58:00,103.61,,,,
5/13/2022 23:58:00,102.24,,,,
5/20/2022 23:58:00,101.04,,,,
5/27/2022 23:58:00,106.2,,,,
6/3/2022 23:58:00,110.13,,,,
6/10/2022 23:58:00,112.24,,,,
6/17/2022 23:58:00,104.24,,,,
6/24/2022 23:58:00,101.56,,,,
7/1/2022 23:58:00,102.16,,,,
7/8/2022 23:58:00,98.09,,,,
7/15/2022 23:58:00,92.51,,,,
7/22/2022 23:58:00,94.04,,,,
7/29/2022 23:58:00,99.62,,,,
8/5/2022 23:58:00,91.92,,,,
8/12/2022 23:58:00,95.78,,,,
8/19/2022 23:58:00,95.14,,,,
8/26/2022 23:58:00,97.35,,,,
9/2/2022 23:58:00,91.81,,,,
9/9/2022 23:58:00,91.71,,,,
9/16/2022 23:58:00,90.05,,,,
9/23/2022 23:58:00,85.03,,,,
9/30/2022 23:58:00,85.14,,,,
10/7/2022 23:58:00,97.92,,,,
10/14/2022 23:58:00,91.63,,,,
10/21/2022 23:58:00,93.5,,,,
10/28/2022 23:58:00,82.78,,,,
11/4/2022 23:58:00,86.73,,,,
11/11/2022 23:58:00,84.66,,,,
11/18/2022 23:58:00,81.14,,,,
11/25/2022 13:00:00,80,,,,
12/2/2022 23:58:00,82.87,,,,
12/9/2022 23:58:00,75.89,,,,
12/16/2022 23:58:00,77.06,,,,
12/23/2022 23:58:00,80.96,,,,
12/30/2022 23:58:00,81.65,,,,
1/6/2023 23:58:00,77.02,,,,
1/13/2023 23:58:00,82.25,,,,
1/20/2023 23:58:00,84.01,,,,
1/27/2023 23:58:00,82.16,,,,
2/3/2023 23:58:00,77.03,,,,
2/10/2023 23:58:00,82.17,,,,
2/17/2023 23:58:00,79.74,,,,
2/24/2023 23:58:00,79.82,,,,
3/3/2023 23:58:00,82.36,,,,
3/10/2023 23:58:00,79.61,,,,
3/17/2023 23:58:00,71.6,,,,
3/24/2023 23:58:00,73.26,,,,
3/31/2023 23:58:00,77.91,,,,
4/6/2023 23:58:00,81.48,,,,
4/14/2023 23:58:00,82.86,,,,
4/21/2023 23:58:00,79.34,,,,
4/28/2023 23:58:00,78.08,,,,
5/5/2023 23:58:00,73.69,,,,
5/12/2023 23:58:00,72.51,,,,
5/19/2023 23:58:00,74.17,,,,
5/26/2023 23:58:00,75.64,,,,
6/2/2023 23:58:00,74.95,,,,
6/9/2023 23:58:00,73.87,,,,
6/16/2023 23:58:00,75.78,,,,
6/23/2023 23:58:00,73.56,,,,
6/30/2023 23:58:00,74.91,,,,
7/7/2023 23:58:00,77.17,,,,
7/14/2023 23:58:00,78.81,,,,
7/21/2023 23:58:00,80.17,,,,
7/28/2023 23:58:00,83.44,,,,
