Date,Actual_Close,Predicted_MA
2021-02-05 23:58:00,56.27,53.2175
2021-02-12 23:58:00,58.45,53.9525
2021-02-19 23:58:00,58.73,55.1825
2021-02-26 23:58:00,60.6,56.559999999999995
2021-03-05 23:58:00,64.58,58.5125
2021-03-12 23:58:00,64.79,60.59
2021-03-19 23:58:00,61.71,62.175
2021-03-26 23:58:00,61.71,62.92
2021-04-01 23:58:00,62.49,63.1975
2021-04-09 23:58:00,60.76,62.675000000000004
2021-04-16 23:58:00,64.02,61.667500000000004
2021-04-23 23:58:00,63.3,62.245000000000005
2021-04-30 23:58:00,64.35,62.6425
2021-05-07 23:58:00,66.37,63.107499999999995
2021-05-14 23:58:00,66.63,64.50999999999999
